circuit_name,mirror_fidelity,fidelity_estimate,total_runtime,simulation_time,preprocessing_time,shot_time,expectation_value_time,other_time,final_state_memory
mvsp_cauchy2d_chebyshev_d5_n10,0.700829435180341,0.686424528729683,1962.3632979393005,1949.8145678043365,0.0,12.54873013496399,0.4548799991607666,0.0,5.3651123046875
mvsp_cauchy2d_chebyshev_d5_n25,,,,,,,,,
mvsp_cauchy2d_chebyshev_d5_n40,,,,,,,,,
mvsp_cauchy2d_fourier_d10_n10,0.6419661391014065,0.6703032680733263,71.15586400032043,59.66547727584839,0.0,11.490386724472046,0.38802504539489746,0.0,0.029266357421875
mvsp_cauchy2d_fourier_d10_n25,0.6399560973396105,0.6713728031313348,135.13192296028137,111.83090496063232,0.0,23.301017999649048,0.7593257427215576,0.0,0.037261962890625
mvsp_cauchy2d_fourier_d10_n40,0.641424877268206,0.6803949485094086,219.38853192329407,184.25273728370667,0.0,35.1357946395874,1.136535406112671,0.0,0.048828125
mvsp_cauchy2d_fourier_d5_n10,0.7249101176967877,0.714890497298396,39.12290549278259,28.568716764450073,0.0,10.55418872833252,0.37145328521728516,0.0,0.030517578125
mvsp_cauchy2d_fourier_d5_n25,0.7272419219506976,0.7141703412272897,92.48865413665771,70.21648526191711,0.0,22.2721688747406,0.7349328994750977,0.0,0.039825439453125
mvsp_cauchy2d_fourier_d5_n40,0.7251322043506931,0.7156485284854252,162.64677906036377,128.51072478294373,0.0,34.136054277420044,1.0869064331054688,0.0,0.050933837890625
mvsp_gaussian2d_chebyshev_d10_n10,0.6048976536351521,0.6928626600591284,2302.348439693451,2290.246337413788,0.0,12.102102279663086,0.4402351379394531,0.0,0.16790771484375
mvsp_gaussian2d_chebyshev_d10_n25,,,,,,,,,
mvsp_gaussian2d_chebyshev_d10_n40,,,,,,,,,
mvsp_gaussian2d_chebyshev_d5_n10,0.40049603290011854,0.5148625137988376,674.7988946437836,662.7068626880646,0.0,12.092031955718994,0.42414164543151855,0.0,0.032623291015625
mvsp_gaussian2d_chebyshev_d5_n25,0.3151060676366751,0.3940624831932201,5097.846596240997,5073.047389507294,0.0,24.799206733703613,0.8632035255432129,0.0,0.036285400390625
mvsp_gaussian2d_chebyshev_d5_n40,,,,,,,,,
mvsp_gaussian2d_fourier_d10_n10,0.858147687862895,0.8728533459674322,65.81708645820618,54.57992172241211,0.0,11.237164735794067,0.37995314598083496,0.0,0.003631591796875
mvsp_gaussian2d_fourier_d10_n25,0.8566571838051771,0.8488475081101368,123.19005036354065,99.88583827018738,0.0,23.30421209335327,0.7255432605743408,0.0,0.0018310546875
mvsp_gaussian2d_fourier_d10_n40,0.8566571838052499,0.8488475081102699,199.9946804046631,164.0288577079773,0.0,35.96582269668579,1.0847740173339844,0.0,0.00274658203125
mvsp_gaussian2d_fourier_d5_n10,0.8573256523826128,0.8350547778657735,35.948559522628784,25.41033434867859,0.0,10.538225173950195,0.33931517601013184,0.0,0.0008544921875
mvsp_gaussian2d_fourier_d5_n25,0.8573256358356407,0.8350547570604612,82.29541492462158,60.019675970077515,0.0,22.275738954544067,0.7017199993133545,0.0,0.00177001953125
mvsp_gaussian2d_fourier_d5_n40,0.8573256358351548,0.8350547570598359,138.79526329040527,105.00600171089172,0.0,33.78926157951355,1.0477049350738525,0.0,0.002685546875
