circuit_name,mirror_fidelity,fidelity_estimate,total_runtime,simulation_time,preprocessing_time,shot_time,expectation_value_time,other_time,final_state_memory
t_injections_steane,,1.0,22.922765254974365,17.078630924224854,0.042893171310424805,4.169007301330566,0.38792967796325684,0.0,0.248992919921875
linear_high_rate,2.3476998181865963e-20,8.741088777211314e-20,3506.698672056198,3484.858972787857,0.3499293327331543,14.008790493011475,4.927007675170898,0.0,2709.0196228027344
diamond_colour,1.0241708920839641e-54,6.504762374429966e-09,1264.0215561389923,1255.6313116550446,0.2846498489379883,5.712626934051514,0.7594122886657715,0.0,314.6737976074219
TFIM_square_PBC_Jz=1.0_hx=8.0_dt=0.5_n_trotter_steps=2_Lx=8_Ly=7,0.2517616750672395,0.11279299938260207,2082.1660027503967,2066.4109003543854,8.344650268554688e-06,11.345121145248413,2.5076684951782227,0.0,1194.6666259765625
TFIM_square_obc_Jz=1.0_hx=8.0_dt=0.3_n_trotter_steps=20_Lx=8_Ly=7,0.039616470458189904,0.010325757805317607,11684.172904968262,11672.668221235275,0.23602962493896484,6.75761342048645,2.3432605266571045,0.0,1194.6666259765625
XZ_honeycomb_obc_J=1_dt=0.1_n_trotter_steps=16_Lx=4_Ly=7,0.9111703609149551,0.8327005117008411,7368.723037719727,7345.996334552765,0.4275214672088623,19.027090549468994,2.55669903755188,0.0,1194.6666259765625
TFIM_honeycomb_obc_Jz=1.0_hx=6.0_dt=0.3_n_trotter_steps=14_Lx=4_Ly=7,3.271215211027018e-05,0.009662167566471288,3485.015890598297,3452.0135836601257,0.7230992317199707,27.785752773284912,2.5778439044952393,0.0,1194.6666259765625
XZ_honeycomb_obc_J=1_dt=0.1_n_trotter_steps=14_Lx=4_Ly=7,0.9496676305301862,0.8955561750740446,6333.494156837463,6307.903824567795,0.8016493320465088,20.614501953125,2.6697583198547363,0.0,1194.6666259765625
TFIM_square_PBC_Jz=1.0_hx=2.0_dt=0.5_n_trotter_steps=4_Lx=8_Ly=7,3.951048036916982e-09,3.1398904019925256e-09,4364.37695646286,4340.210079908371,0.5317180156707764,19.854435443878174,2.360692262649536,0.0,1194.6666259765625
TFIM_square_obc_Jz=1.0_hx=4.0_dt=0.5_n_trotter_steps=20_Lx=8_Ly=7,1.4329472122819438e-10,6.608323902918907e-11,10589.906361818314,10577.046797275543,1.5674254894256592,6.6816582679748535,2.414959669113159,0.0,1194.6666259765625
mvsp_ricker2d_chebyshev_d5_n10,1.0,1.0,87.90143489837646,83.31471490859985,1.572540044784546,2.309487819671631,0.18648767471313477,0.0,0.384674072265625
TFIM_square_obc_Jz=1.0_hx=8.0_dt=0.1_n_trotter_steps=8_Lx=8_Ly=7,0.9475292591565903,0.866321108754491,115.03235793113708,108.82914638519287,0.8787548542022705,3.5421810150146484,0.37035608291625977,0.0,21.6666259765625
TFIM_honeycomb_PBC_Jz=1.0_hx=1.5_dt=0.1_n_trotter_steps=6_Lx=4_Ly=7,0.9754672412220643,0.9242867932164752,121.07031273841858,114.85701894760132,0.9022135734558105,3.557917594909668,0.3676149845123291,0.0,21.6666259765625
mvsp_gaussian2d_chebyshev_d10_n25,0.9932383408558448,0.9878126923476707,2242.2667083740234,2212.1344742774963,21.821286916732788,4.315211057662964,0.4600555896759033,0.0,23.674774169921875
mvsp_gaussian2d_chebyshev_d10_n10,0.9997569137344842,0.9992281125702296,478.17238783836365,470.0739827156067,4.905656576156616,2.363266944885254,0.16642451286315918,0.0,11.588531494140625
TFIM_square_obc_Jz=1.0_hx=4.0_dt=0.5_n_trotter_steps=4_Lx=8_Ly=7,0.24618748888087144,0.10197978436043546,5037.343145847321,5011.9824159145355,8.58306884765625e-06,16.9682559967041,5.805062294006348,0.0,2471.0113525390625
circ_8_mean_dict,0.006149249557944968,0.014627171439052233,40270.67455434799,125659.08195590973,15.132294654846191,8.045495986938477,4.101129055023193,0.0,1737.4998779296875
uccsd_sto3g_NHCl2,0.9928517873366542,0.9800830644496222,4342.771099090576,4328.878645658493,1.1205673217773438e-05,3.1960949897766113,0.2791604995727539,0.0,0.317108154296875
uccsd_sto3g_NaOH,0.9939111364682318,0.9867769984354644,1146.4236192703247,1141.5586359500885,9.059906005859375e-06,1.9138989448547363,0.1533050537109375,0.0,0.1700439453125
uccsd_sto3g_NaCl,0.9999741569742749,0.9934992924980789,1393.9092755317688,1387.6588702201843,1.049041748046875e-05,2.313427686691284,0.1890578269958496,0.0,0.194732666015625
mvsp_ricker2d_fourier_d10_n10,0.9803447573614865,0.9716190551985338,30.061639070510864,26.552100896835327,0.9221024513244629,1.8875885009765625,0.15509819984436035,0.0,0.179534912109375
TFIM_square_PBC_Jz=1.0_hx=8.0_dt=0.3_n_trotter_steps=16_Lx=8_Ly=7,0.20462447407603204,0.002392223482564212,47534.729226112366,47512.95228457451,1.2874603271484375e-05,11.79861068725586,7.792400360107422,0.0,5172.2291259765625
XZ_honeycomb_obc_J=1_dt=0.1_n_trotter_steps=20_Lx=4_Ly=7,0.9055647620455509,0.8281972594427053,42107.23824882507,42063.2312309742,1.8516006469726562,22.384861707687378,15.012231349945068,0.0,5172.2291259765625
t_injections_high_distance,,2.027872579038195e-52,1905.7900795936584,1889.5584301948547,0.08504867553710938,13.984205961227417,1.0435879230499268,0.0,105.4239501953125
t_injections_balanced,,2.4449686087996734e-82,2752.6255815029144,2733.166318178177,0.0053441524505615234,16.768643617630005,1.5736196041107178,0.0,91.46536254882812
