circuit_name,mirror_fidelity,fidelity_estimate,total_runtime,simulation_time,preprocessing_time,shot_time,expectation_value_time,other_time,final_state_memory
TFIM_honeycomb_PBC_Jz=1.0_hx=1.5_dt=0.1_n_trotter_steps=6_Lx=4_Ly=7,0.9465694135158887,0.8346834564998332,71.94130444526672,56.679428577423096,0.0,15.261875867843628,0.8058333396911621,0.0,11.6744384765625
TFIM_honeycomb_PBC_Jz=1.0_hx=1.5_dt=0.3_n_trotter_steps=4_Lx=4_Ly=7,0.9016215935347753,0.8249590671713416,11800.266892433167,11781.720638751984,0.0,18.54625368118286,15.34493112564087,0.0,7097.2291259765625
TFIM_honeycomb_PBC_Jz=1.0_hx=3.0_dt=0.3_n_trotter_steps=18_Lx=4_Ly=7,0.3088569188577998,0.0006568916706787155,970.9146008491516,953.7900855541229,0.0,17.124515295028687,0.8689160346984863,0.0,82.6666259765625
TFIM_honeycomb_PBC_Jz=1.0_hx=6.0_dt=0.5_n_trotter_steps=14_Lx=4_Ly=7,0.9986375209382586,0.9175685448796096,69.83824419975281,54.323200941085815,0.0,15.515043258666992,0.6770966053009033,0.0,0.001708984375
TFIM_honeycomb_PBC_Jz=1.0_hx=6.0_dt=0.5_n_trotter_steps=16_Lx=4_Ly=7,0.9986527901320764,0.90662116063412,75.93911838531494,60.34982395172119,0.0,15.58929443359375,0.6626400947570801,0.0,0.001708984375
TFIM_honeycomb_PBC_Jz=1.0_hx=6.0_dt=0.5_n_trotter_steps=18_Lx=4_Ly=7,0.9987336149326921,0.8958119111797375,81.53053522109985,66.09618997573853,0.0,15.434345245361328,0.6727073192596436,0.0,0.001708984375
TFIM_honeycomb_PBC_Jz=1.0_hx=6.0_dt=0.5_n_trotter_steps=20_Lx=4_Ly=7,0.9988304056421426,0.8851145446067359,86.56955218315125,71.23124623298645,0.0,15.338305950164795,0.6643800735473633,0.0,0.001708984375
TFIM_honeycomb_obc_Jz=1.0_hx=6.0_dt=0.3_n_trotter_steps=14_Lx=4_Ly=7,4.617803527009332e-05,3.0486254371963125e-05,1060.7857253551483,1043.410150527954,0.0,17.375574827194214,1.0564377307891846,0.0,314.6666259765625
TFIM_square_PBC_Jz=1.0_hx=2.0_dt=0.5_n_trotter_steps=4_Lx=8_Ly=7,0.00011303137836025446,2.4428632258554366e-06,512.6354129314423,495.6662087440491,0.0,16.96920418739319,1.0547466278076172,0.0,314.6666259765625
TFIM_square_PBC_Jz=1.0_hx=8.0_dt=0.3_n_trotter_steps=12_Lx=8_Ly=7,0.2137232758068761,0.02413027917033754,3135.4677064418793,3119.2141726017,0.0,16.253533840179443,1.329193353652954,0.0,652.0850830078125
TFIM_square_PBC_Jz=1.0_hx=8.0_dt=0.3_n_trotter_steps=16_Lx=8_Ly=7,0.1416765350459184,0.0027038338720199078,2225.663079738617,2209.1656861305237,0.0,16.49739360809326,1.060912847518921,0.0,314.6666259765625
TFIM_square_PBC_Jz=1.0_hx=8.0_dt=0.5_n_trotter_steps=2_Lx=8_Ly=7,0.22098356126795118,0.16413026321471055,376.5899076461792,359.9895157814026,0.0,16.60039186477661,1.2717182636260986,0.0,652.0850830078125
TFIM_square_obc_Jz=1.0_hx=4.0_dt=0.5_n_trotter_steps=20_Lx=8_Ly=7,1.1460021109728927e-07,8.655228792491498e-09,1354.3878345489502,1338.1283066272736,0.0,16.259527921676636,1.0339698791503906,0.0,314.6666259765625
TFIM_square_obc_Jz=1.0_hx=4.0_dt=0.5_n_trotter_steps=4_Lx=8_Ly=7,0.3248368835903103,0.25256238884435445,2756.616361141205,2740.1279542446136,0.0,16.488406896591187,8.008246898651123,0.0,4522.6666259765625
TFIM_square_obc_Jz=1.0_hx=8.0_dt=0.1_n_trotter_steps=8_Lx=8_Ly=7,0.9765551101010126,0.09008209067779374,41.41326689720154,26.251720666885376,0.0,15.161546230316162,0.7284302711486816,0.0,0.001708984375
TFIM_square_obc_Jz=1.0_hx=8.0_dt=0.3_n_trotter_steps=20_Lx=8_Ly=7,0.2186819748753813,0.0582989290830008,2563.2630269527435,2547.3781814575195,0.0,15.884845495223999,1.2635197639465332,0.0,652.0850830078125
XZ_honeycomb_obc_J=1_dt=0.1_n_trotter_steps=14_Lx=4_Ly=7,0.6591737167316981,0.539704024670521,829.0246322154999,812.7061076164246,0.0,16.318524599075317,0.7988715171813965,0.0,82.6666259765625
XZ_honeycomb_obc_J=1_dt=0.1_n_trotter_steps=16_Lx=4_Ly=7,0.6109243216915119,0.49965373867349905,1131.225445508957,1114.9163064956665,0.0,16.309139013290405,0.8054671287536621,0.0,111.7242431640625
XZ_honeycomb_obc_J=1_dt=0.1_n_trotter_steps=20_Lx=4_Ly=7,0.6196081023383343,0.540223226159909,5461.409915685654,5444.946582555771,0.0,16.463333129882812,1.2642533779144287,0.0,652.0850830078125
XZ_honeycomb_obc_J=1_dt=0.1_n_trotter_steps=6_Lx=4_Ly=7,0.9357921382699951,0.8533361190551256,191.0403003692627,175.87224507331848,0.0,15.168055295944214,0.7549576759338379,0.0,21.6666259765625
XZ_square_PBC_J=1_dt=0.3_n_trotter_steps=16_Lx=8_Ly=7,0.3342837594349579,6.1298364715336725e-58,177.43274426460266,160.9823615550995,0.0,16.450382709503174,0.7838404178619385,0.0,0.0067138671875
XZ_square_obc_J=1_dt=0.1_n_trotter_steps=10_Lx=8_Ly=7,0.9398452114423358,0.8554077447075329,838.7665605545044,822.4156544208527,0.0,16.350906133651733,1.0957894325256348,0.0,356.9690246582031
